Longitud,Latitud,2010_011,2010_012,2010_013,2010_010,2010_021,2010_022,2010_023,2010_020,2010_031,2010_032,2010_033,2010_030,2010_041,2010_042,2010_043,2010_040,2010_051,2010_052,2010_053,2010_050,2010_061,2010_062,2010_063,2010_060,2010_071,2010_072,2010_073,2010_070,2010_081,2010_082,2010_083,2010_080,2010_091,2010_092,2010_093,2010_090,2010_101,2010_102,2010_103,2010_100,2010_111,2010_112,2010_113,2010_110,2010_121,2010_122,2010_123,2010_120
-58.3333,-34.3333,87.7897141,81.19623895,58.66714689,75.32897246,84.65810521,91.33302769,92.30633294,89.33339053,85.83616771,73.45309891,72.54760631,77.12633340000001,58.51139444,74.92241089,75.60668438,69.68016324,66.36326147,60.52593405,81.86149665,69.97962640000001,95.76220093,98.15902449,95.84836162,96.58986235,96.87789404,99.55262269,98.52943473,98.3267403,96.77975178,91.33578554,82.77315468,90.0535508,95.67242736,94.33899447,82.95003635,90.98715273,75.54400961,68.85607729,57.32363978,66.92131957,50.90459001,44.88945995,32.72864597,42.84089864,22.28137395,21.23343961,14.1414859,19.05498324
-58.0,-34.3333,81.16696991,71.60092242,50.91512386,67.34662212,84.11105068,90.04335135,91.66022752,88.49951959,84.93647669,71.80952846,75.13464772,77.22390892,59.52835857,76.30169242,76.94777689,70.92594263,66.7525296,60.50410692,79.44901093,69.24211243,95.34816682,98.13100768,95.00791892,96.16236447,95.83073707,99.52076496,98.45894929,97.95366008,96.68084027,91.1079358,82.21985209,89.75181076,95.38648194,93.76951922,81.69171735,90.28257284,73.52486052,65.49472845,54.01203261,64.01058866,48.95096901,43.21696146,30.71197238,40.95996761,20.29311652,19.77311386,12.64390809,17.41113848
-57.6667,-34.3333,68.74710813,65.20916041,45.35998622,59.30717851,79.69022763,82.96387353,91.33470242,84.43287357,73.48128252,60.53580197,68.74240465,67.62378374,54.14406334,66.35528155,70.23694022,63.57876170000001,67.73861219,71.30625692,74.72691985,71.3691874,76.74896634,93.37980031,96.28471837,88.80449501,97.23848305,99.09222775,98.71553664,98.36058100000001,95.45604194,94.76937585,84.55197989,91.36535344,95.80720528,93.00262266,80.27056131,89.69346308,73.01820409999999,68.50275538,56.10723703,65.56094201,49.8705274,44.05704757,30.77395162,41.56717553,19.73268563,17.12016759,10.3013604,15.5433386
-57.3333,-34.3333,80.87229528,76.8338606,55.89450141,70.70648627,83.99231264,81.06073228,90.78283968,85.08882779999999,73.89775603,58.49128931,67.56551384,66.68100341,53.03173429,70.54008251,73.20421963,65.59201214,66.09201777,63.26642762,76.24779824,68.78420111,90.24721321,97.54842132,96.05833533,94.61798995,97.08063656,99.58471954,98.78694459,98.49386940000001,96.45176999,97.81467058,88.73320738,94.15257054,95.94871226,93.2792793,81.44989724,90.22596293,78.37225829,75.88891666,61.38683307,71.54409398,55.83701001,48.70822517,33.53193772,46.02572429999999,20.90114197,14.97637088,8.996752499,14.76578729
-57.0,-34.3333,84.58233646,84.30570789,65.96210964,77.88592418,88.66265215,80.18714090000002,90.51689742,86.31551749,72.27933126,55.62285979,65.3021506,64.43050216,50.99942259,75.18918666,78.97945882,68.38935602,68.89593131,62.04703612,80.37847056,70.76105969,95.18602458,97.97962945,96.12135025,96.42900143,97.56602824,99.61277133,98.88066157,98.69275074,96.62352092,97.98127295,89.10681967,94.39428887,95.97479940000001,93.41883991,81.56467540000001,90.31943824,79.11949145,78.66903332,63.73104197,73.51376482,58.77562657,52.42653219,36.11169645,49.1046184,21.89827773,21.06171605,12.32421297,18.23117034
-56.6667,-34.3333,83.85521483,82.8569655,69.43429248,78.41609744,90.78287795,85.0007122,91.75942733,89.09209474,73.40200109,61.51116647,71.01799779,68.72031133,56.96096602,81.40574169,87.47050469,75.2790708,77.94719234,71.0324052,87.97611993,79.27526757,95.34531527,98.21318105,96.8139519,96.79081608,98.26273409999999,99.77272753,99.07493324,99.03802845,97.48390996,97.78969639,88.67021808,94.45511169,96.06673408,94.17579131,82.55159432,90.93137324,74.78454387,72.58067627,61.02541266,69.19134647,54.9214803,51.78802214,37.95642643,48.22197629,23.76994225,34.71527804,20.68947134,26.20762541
-56.3333,-34.3333,79.74331956,75.97839135,63.57596255,72.79202249,91.24489266,83.45285402,91.54025866,88.6496481,75.98828207,59.51229142,60.50603421,65.17974552,48.27580655,77.96766962,94.33593153,73.52646924,86.58356375,81.38022291,95.29122294,87.99488126,95.7356572,98.40192895,96.97534791,97.03764469,97.40420181,99.81299816,99.25961164,98.83960412,95.65064682,98.06308492,89.01476435,94.07418469,96.45403283,95.16778909,82.70421514,91.44201235,75.28710503,68.15589118,56.39766591,66.28400926,52.75052862,51.93152749,36.77251067,47.15152226,22.5791017,30.40442515,17.38594852,23.26066781
-56.0,-34.3333,78.16803061,76.66050095,63.72520124,72.55685578,90.9873129,84.9103753,91.75657249,89.13055291,80.52127269,65.75193992,67.2688783,71.05450927,54.2370962,80.02788463,94.58079801,76.28192628,87.11028767,81.6247467,94.82004377,88.07647823,95.94263266,98.44634841,97.43366819,97.27421642,97.24995629,99.76168075,99.4989439,98.85821785,96.16638361,98.03737853,89.07642376,94.25413815,96.86782629,95.51219123,83.91319889,92.09773879999999,78.06563885,66.49771855,54.42869543,65.94674916,52.75123779,52.8304106,37.14572111,47.57578984,23.19140413,32.04086664,19.03597485,24.57156229
-55.6667,-34.3333,81.81680879,83.06176816,64.66131613,76.13097571,90.37148445,86.30813236,91.31265599,89.26241628,80.33900758,67.37609982,74.60666932,74.12336892,59.361249699999995,83.27896832,93.34478983,78.66166928,84.64547112,77.72298638,89.25370567,84.04759153,95.78140551,98.17855466,97.25538644,97.0717822,97.33430321,99.63008609999999,99.55323929999999,98.86224275,96.53978711,97.99358808,88.88527964,94.29263961,96.78183735,95.10036002,82.28637049999999,91.38952262,74.91693584,60.16345013,47.71535063,60.505571499999995,48.8036963,51.32183252,35.18133104,45.10228662,21.5290301,38.71429809,23.01294316,27.59921473
-55.3333,-34.3333,68.85847735,70.99025263,50.82444689,63.14697469,88.15436749,80.73089911,88.35634318,85.65723292,69.55167194,56.02888471,72.81806851,66.34852646,53.35663963,78.61096177,89.16645559,73.71135233,76.67522405,68.14812433,85.8458214,77.17862965,94.38192708,97.61920284,96.54790674,96.18301222,96.55045627,99.39822469,99.27884385,98.43722878,95.38708277,97.99691116,87.26836327,93.34812694,96.08925554,93.36113774,74.07390397,87.84143241,58.98653967,40.59727979,30.18504926,42.83463666,38.93716823,44.27928637,26.61865656,36.61170372,13.86876935,42.28956544,23.17364882,26.33849952
-55.0,-34.3333,62.392549,53.74364274,45.16993025,53.49132742,90.12091025,72.94501403,84.6520824,82.50096498,55.71195163,52.14136472,76.93449820000001,62.09073044,50.58590002,74.17788132,85.7513224,70.17170125,69.89746404,59.29824001,86.86818158,72.50022703,92.58998742,97.26404847,97.49666242,95.78356611,95.8192335,99.16377205,98.90132453,97.99176211,91.8233971,97.03888447,83.40625845,90.51908576,93.98038395,89.38223131,70.86240027,84.74167184,59.21059319,35.29571347,26.25042525,39.8005724,45.51035251,49.01764977,25.79178417,40.10659548,11.41681722,48.04508122,24.96954136,28.0414174
-54.6667,-34.3333,64.86915514,51.59511017,41.25524278,52.20807496,85.70830959,66.55221989,84.95097476,78.86772647,56.7475936,60.2665127,78.21877988,65.50153683,52.09891205,72.0621816,85.51079627,69.89062997,69.70550881,59.53029019,86.28029831,72.30455714,92.88540193,97.50172482,97.84326225,96.07679633,96.12137373,99.18799246,98.93053399,98.10740438,91.23214771,97.29857209,84.96945433,90.96681276,93.51437265,88.2298161,74.68990926,85.47803267,67.63599195,40.58981511,30.57359121,45.76024432,48.11626781,50.72377164,29.95362031,42.93121992,14.76293526,48.19969348,24.581916500000002,29.03314093
-54.3333,-34.3333,68.42743805,67.84398157,56.26740338,63.92437527,87.14047298,81.66699720000001,88.59036887,85.70303523,75.29649435,68.92203377,73.68969796,72.67006319,61.41581683,72.63944984,80.38363784,71.47963484,73.77727404,69.19669497,86.48576892,76.80913381,96.71931005,98.55371717,99.10926276,98.12743,98.42753379,99.69090735,99.51418264,99.22065872,96.82795118,97.6167163,90.99026695,95.0109552,96.6983675,94.62116945,84.14023129,91.81992275,73.58094236,58.3467147,46.92863307,59.20940434,46.94445820000001,51.82702247,42.61814362,47.12987476,29.464814500000003,30.96787002,22.69582152,27.54777039
-54.0,-34.3333,64.64883321,64.17393303,42.67512456,56.69851718,85.21872361,71.8190972,55.59703648,71.40522539,44.85424851,50.68039507,37.68208286,44.18868862,29.80067434,48.944119,61.40716587,46.71731973,55.25892551,50.34251516,56.84826797,54.23694692,56.901125199999996,53.25591848,66.08299825,58.74668064,77.27927383,84.39372936,98.93484184,87.25849329,94.37692752,95.63149032,87.24529484,92.25104586,95.2621575,81.94610677,66.03762365,81.08196264,50.50040247,37.08298946,25.98222723,37.47220706,17.74503982,26.79696437,25.74816602,23.43005674,16.04315937,18.69162696,11.65281975,15.33964131
-53.6667,-34.3333,71.56547899,66.92884057,48.88836564,62.02307154,84.61812786,78.38529555,67.12055611,77.03859445,56.23153256,55.56289678,46.9912762,52.73704296,39.57890904,52.63466924,62.14462516,51.45273448,57.3905267,53.64261063,57.01844665,56.04949311,60.98844855,57.80941513,68.15250682,62.31679017,76.02305498,84.12234189,99.30334814,86.89647736,95.8414976,96.56857236,89.96295131,93.99010206,96.59431221,89.06385734,76.35835894,87.33884283,62.68561234,49.96811829,38.25437274,49.91404537,29.51829087,40.11433832,37.82841142,35.82034687,26.66925638,22.59913925,15.5719939,21.41857707
-58.3333,-34.0,87.94523324,84.71720601,57.65031078,76.15412294,81.4582988,89.48014827,91.53302599,87.35109326,83.48635203,70.23008665,65.55738957,72.84824749,51.57599828,67.69488475,66.60346227,61.95811510000001,57.75986921,52.14510872,78.49651181,63.30681965,95.42029691,97.88208358,96.22157278,96.50798442,97.18939322,99.41845777,98.35053711,98.32046509999999,95.40872114,88.92509491,79.55029901,87.69004676,95.37058735,93.79806151,80.85147658,90.00670848,72.49366842,67.26025987,54.64500614,64.47207582,46.52187529,41.1491415,28.85798958,38.84300212,18.59129426,16.48472208,10.30552381,14.97164275
-58.0,-34.0,86.23584784,82.15747516,58.29096082,75.0043161,88.08644235,89.27537072,91.82747444,89.65742761,87.75029178,74.54898609,74.39893115,78.75422649,59.17638886,73.66637903,72.01631109,68.28635966,63.20159307,57.80951396,78.17410467,66.77503941,95.57392043,98.09311044,96.49280464,96.71994517,96.85763934,99.40863842,98.42746404,98.23757684,95.29439772,93.57577393,85.12359356,91.13100793,96.24526538,94.12689912,81.91270406,90.76162286,73.756284,66.76128944,54.80523525,64.77526845,47.41090533,42.18073861,30.00123261,39.86429218,19.52613978,16.36542645,10.25235627,15.21585746
-57.6667,-34.0,80.05524731,76.84713175,52.04910206,69.08270688,86.45365754,83.93932239,91.09842303,87.02812436,81.59372671,67.73690781,72.85654421,74.02349456,56.82550732,72.07117054,72.66301248,67.18656345,65.47497473,62.81748344,77.16962301,68.76743338,88.32823749,96.96428268,96.1664826,93.81966759,97.31162433,99.59179351,98.49834909,98.46825866,95.55286691,97.40799842,87.4488981,93.27569459,95.84352065,93.17382005,79.7050345,89.57412507,71.37488009,66.01912643,53.18423745,63.19247346,46.14523594,41.68748911,28.65220906,38.82831137,17.98330908,14.66942905,8.665511253,13.60800017
-57.3333,-34.0,76.71246942,73.69675588,48.95175683,65.88908317,85.72080948,82.52626093,90.26569312,86.02972214,78.26687476,63.62133185,73.33537687,71.79261973,55.86923759,74.81786418,75.50808685,68.73172954,66.38242541,61.64423158,76.87286521,68.57638991,92.37240005,97.58763112,95.67197901,95.21067006,96.59104577,99.5493332,98.57871207,98.25063298,95.62007695,97.16075606,86.54419752,92.89659687,95.43657959,92.52932053,77.82411252,88.59667088,69.51798059,65.27696318,50.82010527,61.51518050000001,44.83438714,41.67133644,27.43225728,37.97932695,16.11568492,12.36201351,6.979105735,11.66281121
-57.0,-34.0,77.88950274,84.36503114,61.37488984,74.11835894,90.61714321,82.21357117,89.10136992,87.24894735,74.82287771,57.34657193,67.91939613,66.73573722,50.03591338,77.55700527,80.14665572,69.24652479,67.76282987,59.63017485,79.88451024,69.44063419,94.2642061,97.54002722,95.23352787,95.67925373,95.90080641,99.4995628,98.55141285,98.00223334,94.97130966,96.61079602,84.25598802,91.69796532,94.9848819,91.85136052,74.04827122,86.96150455,61.47282345,60.50857459,46.06150841,55.69324429,41.70492712,47.9682781,33.22636044,40.96652189,18.00717916,23.60877062,12.21511815,17.75889669
-56.6667,-34.0,87.33505808,92.42426676,74.5883922,84.45372783,95.66625795,80.21108703,90.31800994,88.67708756,68.96410755,50.53735701,54.78425581,57.98843418,42.02476643,70.86436567,80.04322115,64.31078442,69.61415879,62.35228794,86.28312328,73.18641366,94.58297972,98.49704542,97.23415863,96.77139459,96.83465573,99.61101120000001,99.05738765,98.5189656,95.20502465,97.19510667,85.81823813,92.51619138,95.85716706,94.23734559999998,77.24430675,89.11293979999999,63.0757039,63.42602965,52.10537643,59.29601536,48.1453275,64.18566473,51.25470395,54.52856539,29.58917972,40.61092122,22.22643174,30.53199221
