id,Longitud,Latitud,2024_011,2024_012,2024_013,2024_010,2024_021,2024_022,2024_023,2024_020,2024_031,2024_032,2024_033,2024_030,2024_041,2024_042,2024_043,2024_040,2024_051,2024_052,2024_053,2024_050,2024_061,2024_062,2024_063,2024_060,2024_071,2024_072,2024_073,2024_070,2024_081,2024_082,2024_083,2024_080,2024_091,2024_092,2024_093,2024_090,2024_101,2024_102,2024_103,2024_100,2024_111,2024_112,2024_113,2024_110,2024_121,2024_122,2024_123,2024_120
0,-58.33350002765656,-34.333500027656555,62.42377853393555,61.07058334350586,50.25378036499024,57.66887664794922,35.604854583740234,49.57693862915039,46.99902725219727,43.95893859863281,57.07501602172852,93.8822021484375,89.24134826660156,80.3621597290039,96.03190612792967,96.87094116210938,99.08729553222656,97.33004760742188,99.3375244140625,97.74373626708984,99.49235534667967,98.87834167480467,98.60396575927734,97.98246002197266,98.15701293945312,98.24781036376952,91.91433715820312,88.47108459472656,85.55780792236328,88.54806518554688,89.37252807617188,90.39554595947266,97.7203598022461,92.66466522216795,94.80281066894533,88.01908111572266,94.65575408935548,92.49254608154295,91.89781951904295,86.40869140625,89.32991790771484,89.2159423828125,79.94581604003906,66.3177261352539,68.30632781982422,71.5232925415039,86.57360076904297,75.66466522216797,59.071773529052734,73.2958755493164
1,-58.0,-34.333500027656555,58.61697006225586,57.04019546508789,44.12831115722656,52.96719741821289,30.36553001403809,44.07301330566406,40.57413101196289,38.26043319702149,46.19367599487305,93.76416015625,88.01469421386719,76.37870788574219,94.05249786376952,95.78299713134766,98.93194580078124,96.2558135986328,99.1867218017578,97.25363159179688,99.0306167602539,98.50775146484376,98.32650756835938,94.51679229736328,97.4391632080078,96.76081848144533,90.63865661621094,86.7391586303711,82.93406677246094,86.64686584472656,87.94175720214844,86.38957214355469,97.37659454345705,90.78890228271484,93.43064880371094,82.46437072753906,77.05644989013672,84.31715393066406,70.6640396118164,66.9359130859375,81.15312194824219,73.183349609375,77.72691345214844,64.26651763916016,69.75128173828125,70.58157348632812,88.49430084228516,68.99970245361328,50.83417892456055,68.84245300292969
2,-58.33350002765656,-34.0,55.18717575073242,48.31118774414063,36.88409423828125,46.47447204589844,27.117902755737305,49.13665008544922,49.27180862426758,41.5859260559082,57.282493591308594,97.83660888671876,87.96916198730469,81.25328826904297,93.8989028930664,95.78885650634766,97.02271270751952,95.57015991210938,98.96294403076172,97.13922882080078,98.66082763671876,98.26744842529295,96.43706512451172,90.86454010009766,92.40110778808594,93.23423767089844,85.72267150878906,81.88996887207031,80.11656188964844,82.4970474243164,84.42759704589844,83.47407531738281,97.89000701904295,88.8969955444336,93.39031219482422,81.65139770507812,73.51203155517578,82.85124206542969,65.11665344238281,61.31769561767578,76.76494598388672,68.02444458007812,69.29425048828125,55.28616714477539,61.99878692626953,62.19306945800781,74.51860046386719,57.41994857788086,42.92498779296875,57.79227066040039
3,-58.0,-34.0,55.859771728515625,50.33635711669922,38.34695053100586,47.86379623413086,27.799650192260746,48.25034332275391,45.456790924072266,40.33141708374024,48.832481384277344,95.0176239013672,88.33491516113281,77.74790954589844,93.9159164428711,95.62370300292967,95.65249633789062,95.06404113769533,98.98567199707033,97.15925598144533,98.17234802246094,98.10791015625,97.02424621582033,89.66685485839844,87.45010375976562,91.38040161132812,81.26919555664062,77.71183013916016,73.51140594482422,77.368896484375,80.14363098144531,80.68595123291016,95.9920654296875,85.94220733642578,93.35374450683594,81.41244506835938,70.61735534667969,81.79450988769531,62.074798583984375,57.64696502685547,70.41626739501953,63.60634231567383,63.65919494628906,52.5869369506836,58.52887725830078,58.25833511352539,68.69884490966797,52.54750442504883,38.97783279418945,52.942569732666016
4,-57.666499972343445,-34.333500027656555,56.68894958496094,51.732521057128906,36.78780746459961,48.02840805053711,24.55111312866211,41.86529541015625,37.67321014404297,34.593894958496094,40.60311508178711,94.29100036621094,87.03321075439453,74.39698028564453,92.44808197021484,93.78943634033205,98.65737915039062,94.9649658203125,98.43997192382812,96.74626922607422,96.76995849609376,97.30103302001952,97.93547058105467,90.4658432006836,86.57551574707031,91.65894317626952,79.95926666259766,76.40306091308594,73.98806762695312,76.69329071044922,84.34346008300781,80.91635131835938,94.55622863769533,86.86183166503906,92.5993881225586,79.0370101928711,64.23644256591797,78.62428283691406,52.5572509765625,50.47363662719727,69.46614074707031,57.88504409790039,70.82018280029297,58.293453216552734,63.9759635925293,64.36319732666016,78.85447692871094,57.7515869140625,41.23927307128906,58.69976425170898
5,-57.33350002765656,-34.333500027656555,62.96657943725586,58.28814697265625,42.325416564941406,54.13312530517578,27.87917709350586,44.317138671875,38.78937911987305,36.93336486816406,46.12250518798828,94.96920776367188,86.67935180664062,76.27064514160156,91.6937484741211,93.38420104980467,98.84297943115234,94.64031219482422,98.26020050048828,96.89173889160156,96.17375183105467,97.07840728759766,98.46047973632812,91.37855529785156,88.85487365722656,92.8979721069336,83.420654296875,80.91449737548828,78.00355529785156,80.69002532958984,85.36366271972656,82.0927734375,95.08942413330078,87.75961303710938,92.78662872314452,78.75132751464844,64.7052230834961,78.74772644042969,54.02706146240234,50.43793869018555,67.08479309082031,57.50266647338867,61.62797164916992,50.01339721679688,55.706031799316406,55.78246688842773,64.53639221191406,47.75558853149414,36.33392333984375,49.11590194702149
6,-57.666499972343445,-34.0,53.21162414550781,50.04493713378906,39.43778991699219,47.3026237487793,27.2164363861084,46.11134719848633,42.197113037109375,38.38109970092773,45.78335189819336,96.0356674194336,87.40003967285156,76.760986328125,93.57730102539062,94.99527740478516,98.02100372314452,95.53119659423828,98.7056655883789,96.85741424560548,97.363525390625,97.63321685791016,97.49181365966795,93.09268951416016,91.54013061523438,94.04154205322266,84.73933410644531,80.77349853515625,75.58139038085938,80.21043395996094,80.11367797851562,78.2885513305664,90.1320571899414,83.079833984375,93.09925842285156,79.45711517333984,66.4637451171875,79.67337036132812,59.00667953491211,53.6064567565918,67.59841918945312,60.3133544921875,58.46491622924805,47.83600234985352,53.03781509399414,53.112911224365234,66.5893325805664,51.59645080566406,37.53713607788086,51.44407653808594
7,-57.33350002765656,-34.0,55.76728057861328,58.27577590942383,48.430171966552734,53.97298049926758,31.88886833190918,54.0753059387207,48.36321640014648,44.65209197998047,51.92547225952149,96.114501953125,86.2447280883789,78.35779571533203,92.90841674804688,93.79095458984376,98.958984375,95.21945190429688,98.81916809082033,96.69632720947266,97.94499206542967,97.82418823242188,98.2070083618164,97.01744842529295,98.044677734375,97.75637817382812,90.77041625976562,86.64192199707031,82.23524475097656,86.4100341796875,84.9009017944336,80.73406219482422,92.25249481201172,86.16539001464844,92.65402221679688,77.69763946533203,64.88381958007812,78.41182708740234,62.638519287109375,57.384368896484375,66.205810546875,62.20944595336914,56.7018928527832,46.73815155029297,55.27110290527344,52.90371322631836,81.07989501953125,64.40025329589844,43.79447555541992,62.46905517578125
8,-57.666499972343445,-33.666499972343445,51.26433181762695,49.86052322387695,41.38199234008789,47.30485534667969,28.36767578125,47.97202301025391,50.1537971496582,41.889007568359375,63.88758850097656,99.1312255859375,88.21916961669922,83.89028930664062,94.63777923583984,93.50432586669922,98.86608123779295,95.66939544677734,98.727294921875,96.9361343383789,98.15628051757812,97.94688415527344,97.76483917236328,96.39478302001952,98.05571746826172,97.40511322021484,90.86266326904295,86.37739562988281,81.44685363769531,86.07470703125,78.75212097167969,73.94638061523438,80.28643798828125,77.7463150024414,87.21430969238281,74.85893249511719,66.18291473388672,76.08538818359375,64.02469635009766,58.497100830078125,62.758880615234375,61.79243850708008,56.0732650756836,46.74555969238281,57.04770660400391,53.28884506225586,85.04963684082031,68.05933380126953,45.05669021606445,65.37785339355469
9,-58.0,-33.666499972343445,50.739532470703125,45.86238861083984,37.992000579833984,44.6429443359375,27.211870193481445,46.53248596191406,49.38888931274414,40.75667572021485,66.87165832519531,99.24083709716795,88.38472747802734,84.9469985961914,94.47438049316406,94.52005004882812,98.78141784667967,95.92528533935548,98.42813110351562,97.09390258789062,97.9089126586914,97.8134994506836,97.3484344482422,91.96967315673828,93.8208465576172,94.37964630126952,87.0247802734375,82.97142028808594,78.41963958740234,82.66381072998047,78.90348815917969,75.33124542236328,86.49069213867188,80.4433822631836,93.21470642089844,81.57447814941406,72.54896545410156,82.44605255126953,64.00276184082031,61.84573745727539,69.78478240966797,65.35863494873047,61.04631042480469,51.48995590209961,61.06816864013672,57.86814498901367,83.29660034179688,69.85970306396484,48.40022277832031,66.57952880859375
