ObjectID,GlobalID,Número de informe MIRA,Tipo de incendio,Fecha de registro del evento,Departamento,Fuente,Área,CreationDate,Creator,EditDate,Editor,x,y,link fuente,,,,,,,
88,ed04877b-eb9d-4aa6-bcd3-a51270f68639,515,Interface_Urbana,3-Feb-20,Canelones,cecoed,30,6/9/2022 16:21,sinae_covid_19,6/9/2022 16:21,sinae_covid_19,-55.55451912,-34.77998258,https://www.facebook.com/Unired.uy/photos/-%F0%9D%97%96%F0%9D%97%94%F0%9D%97%A1%F0%9D%97%98%F0%9D%97%9F%F0%9D%97%A2%F0%9D%97%A1%F0%9D%97%98%F0%9D%97%A6-%F0%9D%97%9C%F0%9D%97%BB%F0%9D%97%B0%F0%9D%97%B2%F0%9D%97%BB%F0%9D%97%B1%F0%9D%97%B6%F0%9D%97%BC-%F0%9D%97%B2%F0%9D%97%BB-%F0%9D%97%BA%F0%9D%97%AE%CC%81%F0%9D%98%80-%F0%9D%97%B1%F0%9D%97%B2-%F0%9D%9F%AF%F0%9D%9F%AC-%F0%9D%97%B5%F0%9D%97%B2%F0%9D%97%B0%F0%9D%98%81%F0%9D%97%AE%CC%81%F0%9D%97%BF%F0%9D%97%B2%F0%9D%97%AE%F0%9D%98%80incendio-que-se-gener%C3%B3-esta-tarde-en/788551619954726/?_rdr,,,,,,,
78,d0c08a52-54e8-45fe-b60d-8cdae46bb06e,566,De_Campo,8-Apr-18,Lavalleja,cecoed,300,6/8/2022 20:21,sinae_covid_19,6/8/2022 20:21,sinae_covid_19,-55.30279417,-34.38759312,https://www.gub.uy/sistema-nacional-emergencias/comunicacion/noticias/incendios-campo-monte-nativo-originados-conductas-irresponsables-requieren,,,,,,,
81,24982a0f-e3f5-41b9-b07c-6821608d2f07,512,Forestal_Plantado,24-Jan-20,Rocha,cecoed,350,6/9/2022 14:45,sinae_covid_19,6/9/2022 14:45,sinae_covid_19,-53.58323196,-34.05844032,https://www.rochaaldia.com/articulo/articulo.php?cod=26191,,,,,,,
67,91f116e7-1959-4960-89cb-95eb07d63b25,773,Forestal_Plantado,22-Nov-21,Maldonado,prensa,300,5/27/2022 16:39,sinae_covid_19,5/27/2022 16:39,sinae_covid_19,-55.3810608,-34.76633146,,,,,,,,
47,f7c7b7af-8c1a-4a63-a00c-e5e16783b1d1,936,De_Campo,29-Dec-21,Cerro_Largo,sgsp,80,5/26/2022 16:06,sinae_covid_19,5/26/2022 16:06,sinae_covid_19,-54.73228805,-32.29259903,,,,,,,,
50,a2cc6abc-0945-41ef-8d40-c44bf1264a9e,934,De_Campo,28-Dec-21,Florida,sgsp,50,5/26/2022 16:30,sinae_covid_19,5/26/2022 16:30,sinae_covid_19,-55.74758841,-33.60683479,,,,,,,,
61,9201dba7-199d-48fa-b2c3-652027355ada,919,De_Campo,17-Dec-21,Rio_Negro,sgsp,50,5/27/2022 14:56,sinae_covid_19,5/27/2022 14:56,sinae_covid_19,-57.29020994,-32.87268858,,,,,,,,
65,d7ebefc0-b73a-4788-8e4d-14ecb8c46e71,915,De_Campo,8-Dec-21,Flores,sgsp,45,5/27/2022 16:20,sinae_covid_19,5/27/2022 16:20,sinae_covid_19,-57.12375869,-33.57497355,,,,,,,,
94,40df0c7c-adc2-4e2f-97d7-1308b1e87022,643,Forestal_Plantado,24-Jan-21,Rocha,cecoed,45,6/9/2022 17:28,sinae_covid_19,6/9/2022 17:28,sinae_covid_19,-53.54512142,-34.02978185,,,,,,,,
60,dc8b9205-6043-4394-ab3d-8a95cb5a9564,920,De_Campo,18-Dec-21,Flores,sgsp,40,5/27/2022 14:35,sinae_covid_19,5/27/2022 14:35,sinae_covid_19,-56.74532249,-33.50114748,,,,,,,,
